model,data_index,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougel_precision,rougel_recall,rougel_f1,bert_precision,bert_recall,bert_f1
gpt_35_completion,0,0.4523809523809524,0.25333333333333335,0.3247863247863248,0.17073170731707318,0.0945945945945946,0.12173913043478261,0.3333333333333333,0.18666666666666668,0.2393162393162393,0.5341862440109253,0.6565693616867065,0.5890886783599854
gpt_35_completion,1,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.24561403508771928,0.24561403508771928,0.24561403508771928,0.29310344827586204,0.29310344827586204,0.29310344827586204,0.7387589812278748,0.7557768821716309,0.7471710443496704
gpt_35_completion,2,0.3956043956043956,0.6428571428571429,0.48979591836734687,0.2,0.32727272727272727,0.2482758620689655,0.23076923076923078,0.375,0.2857142857142857,0.7502604722976685,0.640572190284729,0.6910910606384277
gpt_35_completion,3,0.44680851063829785,0.5526315789473685,0.49411764705882355,0.15217391304347827,0.1891891891891892,0.16867469879518074,0.2553191489361702,0.3157894736842105,0.28235294117647053,0.6587486267089844,0.6525179743766785,0.6556184887886047
gpt_35_completion,4,0.5283018867924528,0.3888888888888889,0.44799999999999995,0.2692307692307692,0.19718309859154928,0.2276422764227642,0.39622641509433965,0.2916666666666667,0.3360000000000001,0.6950061917304993,0.7197758555412292,0.7071741819381714
gpt_35_completion,5,0.3707865168539326,0.5409836065573771,0.44,0.11363636363636363,0.16666666666666666,0.13513513513513511,0.2808988764044944,0.4098360655737705,0.33333333333333337,0.7189359664916992,0.7094790935516357,0.7141762375831604
gpt_35_completion,6,0.4148936170212766,0.582089552238806,0.48447204968944096,0.17204301075268819,0.24242424242424243,0.20125786163522014,0.23404255319148937,0.3283582089552239,0.2732919254658385,0.711329460144043,0.6849815845489502,0.6979069709777832
gpt_35_completion,7,0.20270270270270271,0.42857142857142855,0.27522935779816515,0.0821917808219178,0.17647058823529413,0.11214953271028036,0.14864864864864866,0.3142857142857143,0.20183486238532108,0.5682152509689331,0.5271759033203125,0.5469267964363098
gpt_35_completion,8,0.6363636363636364,0.6282051282051282,0.6322580645161291,0.39473684210526316,0.38961038961038963,0.39215686274509803,0.5064935064935064,0.5,0.5032258064516129,0.7805804014205933,0.7562128305435181,0.7682034373283386
gpt_35_completion,9,0.4262295081967213,0.7222222222222222,0.5360824742268041,0.16666666666666666,0.2857142857142857,0.2105263157894737,0.2786885245901639,0.4722222222222222,0.35051546391752575,0.7848330736160278,0.7378756999969482,0.7606303691864014
gpt_35_completion,10,0.8461538461538461,0.2558139534883721,0.3928571428571428,0.4,0.11764705882352941,0.1818181818181818,0.5384615384615384,0.16279069767441862,0.25000000000000006,0.5845057368278503,0.7464743256568909,0.6556349396705627
